Timestamp,Pump_ID,Suction_Pressure_Bar,Discharge_Pressure_Bar,Flow_Rate_m3h,Motor_Current_Amps,Vibration_mm_s,Vessel_Level_Percent,Status
2026-03-02 20:00:00,P-101C,2.256398518,12.78305184,151.8426192,48.31904129,1.017366487,74.13065703,Operating
2026-02-14 18:00:00,P-102B,2.261392023,12.73040165,154.9098854,47.5842412,1.185262523,75.08717046,Operating
2026-02-26 19:00:00,P-102C,2.197380921,12.76342413,154.9770451,48.07971149,1.323754432,74.62923057,Operating
2026-02-13 5:00:00,P-101B,2.180484725,11.63059889,149.6167184,44.01430336,,75.07808627,OPR
2026-02-17 16:00:00,P-102C,2.272133639,12.67565554,155.0061497,48.90580698,1.192241152,75.76012328,Standby
2026-02-21 15:00:00,P-101A,2.155776333,12.72758979,155.7005181,48.70621393,1.188656938,73.87043763,STANDBY
2026-02-17 21:00:00,P-101A,2.19161146,12.8760135,155.3707667,46.69043475,1.102135746,71.28677028,operating
2026-02-22 21:00:00,P-102A,2.113476421,12.90029908,154.1033244,49.44511929,1.246946359,75.19334824,Operating
2026-02-19 16:00:00,P-102B,2.206980447,12.76813672,155.9263976,48.50170215,1.065404413,74.39067349,Operating
2026-02-15 15:00:00,P-101A,2.196572047,12.71489833,,47.22752368,1.154161883,73.41578094,Operating
2026-02-24 6:00:00,P-102A,2.153640111,12.68047524,155.109496,48.20935477,1.187853753,74.60894719,Operating
2026-02-13 15:00:00,P-102C,2.226468114,12.75795754,157.3716633,48.90039654,1.21866039,73.49748154,Operating
2026-03-02 12:00:00,P-101C,2.121792251,12.82532225,153.4309631,48.65418108,1.390271457,74.33160128,Operating
2026-02-04 11:00:00,P-102B,2.138655607,12.88718233,154.3400697,47.98543178,1.425161236,72.86238125,Operating
2026-02-06 11:00:00,P-101A,2.231148553,12.88549567,155.333561,47.70441501,1.299374817,73.22027347,Operating
2026-02-26 22:00:00,P-102C,2.233888282,12.63127909,155.277179,47.43989117,1.156593517,78.51090396,OPR
2026-02-10 14:00:00,P-101A,2.164247383,12.75403219,155.0486241,47.4493624,1.283051352,76.49791598,OPR
2026-02-19 7:00:00,P-101B,2.08394697,10.60081728,144.6743792,41.80439739,3.83464979,76.36304202,Operating
2026-03-02 21:00:00,P-102C,2.194344928,13.02148125,157.0005627,48.43146626,1.198335212,72.88748607,stndby
